row_id,tree_level,toc_id,toc_depth,title,page_start,next_page_start,parent_row_id,parent_toc_id,path_titles,path_ids,safe_title,safe_toc_id,file_stub,line_number,split_pdf_relpath,split_md_relpath,split_pdf_exists,split_md_exists
16,4,1-1-3-2,4,自由进化论,324,347,14,1-1-3,实在论 / 复习课 / 认知主义 / 自由进化论,1 / 1-1 / 1-1-3 / 1-1-3-2,自由进化论,1-1-3-2,0016__1-1-3-2__自由进化论__p324,23,split_pdf/1_实在论/1-1_复习课/1-1-3_认知主义/1-1-3-2_自由进化论/0016_1-1-3-2_自由进化论_p324.pdf,split_md/1_实在论/1-1_复习课/1-1-3_认知主义/1-1-3-2_自由进化论/0016_1-1-3-2_自由进化论_p324.md,0,1
17,4,1-1-3-3,4,认知自我主义,347,389,14,1-1-3,实在论 / 复习课 / 认知主义 / 认知自我主义,1 / 1-1 / 1-1-3 / 1-1-3-3,认知自我主义,1-1-3-3,0017__1-1-3-3__认知自我主义__p347,24,split_pdf/1_实在论/1-1_复习课/1-1-3_认知主义/1-1-3-3_认知自我主义/0017_1-1-3-3_认知自我主义_p347.pdf,split_md/1_实在论/1-1_复习课/1-1-3_认知主义/1-1-3-3_认知自我主义/0017_1-1-3-3_认知自我主义_p347.md,0,1
18,4,1-1-3-4,4,认知无我论,389,416,14,1-1-3,实在论 / 复习课 / 认知主义 / 认知无我论,1 / 1-1 / 1-1-3 / 1-1-3-4,认知无我论,1-1-3-4,0018__1-1-3-4__认知无我论__p389,25,split_pdf/1_实在论/1-1_复习课/1-1-3_认知主义/1-1-3-4_认知无我论/0018_1-1-3-4_认知无我论_p389.pdf,split_md/1_实在论/1-1_复习课/1-1-3_认知主义/1-1-3-4_认知无我论/0018_1-1-3-4_认知无我论_p389.md,0,1
19,3,1-1-4,3,行为主义,416,444,3,1-1,实在论 / 复习课 / 行为主义,1 / 1-1 / 1-1-4,行为主义,1-1-4,0019__1-1-4__行为主义__p416,26,split_pdf/1_实在论/1-1_复习课/1-1-4_行为主义/0019_1-1-4_行为主义_p416.pdf,split_md/1_实在论/1-1_复习课/1-1-4_行为主义/0019_1-1-4_行为主义_p416.md,0,1
20,4,1-1-4-1,4,操作行为主义,444,463,19,1-1-4,实在论 / 复习课 / 行为主义 / 操作行为主义,1 / 1-1 / 1-1-4 / 1-1-4-1,操作行为主义,1-1-4-1,0020__1-1-4-1__操作行为主义__p444,27,split_pdf/1_实在论/1-1_复习课/1-1-4_行为主义/1-1-4-1_操作行为主义/0020_1-1-4-1_操作行为主义_p444.pdf,split_md/1_实在论/1-1_复习课/1-1-4_行为主义/1-1-4-1_操作行为主义/0020_1-1-4-1_操作行为主义_p444.md,0,1
21,4,1-1-4-2,4,目的行为主义,463,492,19,1-1-4,实在论 / 复习课 / 行为主义 / 目的行为主义,1 / 1-1 / 1-1-4 / 1-1-4-2,目的行为主义,1-1-4-2,0021__1-1-4-2__目的行为主义__p463,28,split_pdf/1_实在论/1-1_复习课/1-1-4_行为主义/1-1-4-2_目的行为主义/0021_1-1-4-2_目的行为主义_p463.pdf,split_md/1_实在论/1-1_复习课/1-1-4_行为主义/1-1-4-2_目的行为主义/0021_1-1-4-2_目的行为主义_p463.md,0,1
22,4,1-1-4-3,4,应用行为分析,492,515,19,1-1-4,实在论 / 复习课 / 行为主义 / 应用行为分析,1 / 1-1 / 1-1-4 / 1-1-4-3,应用行为分析,1-1-4-3,0022__1-1-4-3__应用行为分析__p492,29,split_pdf/1_实在论/1-1_复习课/1-1-4_行为主义/1-1-4-3_应用行为分析/0022_1-1-4-3_应用行为分析_p492.pdf,split_md/1_实在论/1-1_复习课/1-1-4_行为主义/1-1-4-3_应用行为分析/0022_1-1-4-3_应用行为分析_p492.md,0,1
23,4,1-1-4-4,4,社会行为主义,515,527,19,1-1-4,实在论 / 复习课 / 行为主义 / 社会行为主义,1 / 1-1 / 1-1-4 / 1-1-4-4,社会行为主义,1-1-4-4,0023__1-1-4-4__社会行为主义__p515,30,split_pdf/1_实在论/1-1_复习课/1-1-4_行为主义/1-1-4-4_社会行为主义/0023_1-1-4-4_社会行为主义_p515.pdf,split_md/1_实在论/1-1_复习课/1-1-4_行为主义/1-1-4-4_社会行为主义/0023_1-1-4-4_社会行为主义_p515.md,0,1
24,2,1-2,2,宗教实在论,527,533,1,1,实在论 / 宗教实在论,1 / 1-2,宗教实在论,1-2,0024__1-2__宗教实在论__p527,31,split_pdf/1_实在论/1-2_宗教实在论/0024_1-2_宗教实在论_p527.pdf,split_md/1_实在论/1-2_宗教实在论/0024_1-2_宗教实在论_p527.md,0,1
25,2,1-2,2,复习,533,544,1,1,实在论 / 复习,1 / 1-2,复习,1-2,0025__1-2__复习__p533,32,split_pdf/1_实在论/1-2_复习/0025_1-2_复习_p533.pdf,split_md/1_实在论/1-2_复习/0025_1-2_复习_p533.md,0,1
26,3,1-2-1,3,神创论,544,553,25,1-2,实在论 / 复习 / 神创论,1 / 1-2 / 1-2-1,神创论,1-2-1,0026__1-2-1__神创论__p544,33,split_pdf/1_实在论/1-2_复习/1-2-1_神创论/0026_1-2-1_神创论_p544.pdf,split_md/1_实在论/1-2_复习/1-2-1_神创论/0026_1-2-1_神创论_p544.md,0,1
27,4,1-2-1-1,4,自然神论,553,573,26,1-2-1,实在论 / 复习 / 神创论 / 自然神论,1 / 1-2 / 1-2-1 / 1-2-1-1,自然神论,1-2-1-1,0027__1-2-1-1__自然神论__p553,34,split_pdf/1_实在论/1-2_复习/1-2-1_神创论/1-2-1-1_自然神论/0027_1-2-1-1_自然神论_p553.pdf,split_md/1_实在论/1-2_复习/1-2-1_神创论/1-2-1-1_自然神论/0027_1-2-1-1_自然神论_p553.md,0,1
28,4,1-2-1-2,4,神义论,573,589,26,1-2-1,实在论 / 复习 / 神创论 / 神义论,1 / 1-2 / 1-2-1 / 1-2-1-2,神义论,1-2-1-2,0028__1-2-1-2__神义论__p573,35,split_pdf/1_实在论/1-2_复习/1-2-1_神创论/1-2-1-2_神义论/0028_1-2-1-2_神义论_p573.pdf,split_md/1_实在论/1-2_复习/1-2-1_神创论/1-2-1-2_神义论/0028_1-2-1-2_神义论_p573.md,0,1
29,4,1-2-1-3,4,一元论诺斯替主义,589,604,26,1-2-1,实在论 / 复习 / 神创论 / 一元论诺斯替主义,1 / 1-2 / 1-2-1 / 1-2-1-3,一元论诺斯替主义,1-2-1-3,0029__1-2-1-3__一元论诺斯替主义__p589,36,split_pdf/1_实在论/1-2_复习/1-2-1_神创论/1-2-1-3_一元论诺斯替主义/0029_1-2-1-3_一元论诺斯替主义_p589.pdf,split_md/1_实在论/1-2_复习/1-2-1_神创论/1-2-1-3_一元论诺斯替主义/0029_1-2-1-3_一元论诺斯替主义_p589.md,0,1
30,4,1-2-1-4,4,模态位格一元论,604,625,26,1-2-1,实在论 / 复习 / 神创论 / 模态位格一元论,1 / 1-2 / 1-2-1 / 1-2-1-4,模态位格一元论,1-2-1-4,0030__1-2-1-4__模态位格一元论__p604,37,split_pdf/1_实在论/1-2_复习/1-2-1_神创论/1-2-1-4_模态位格一元论/0030_1-2-1-4_模态位格一元论_p604.pdf,split_md/1_实在论/1-2_复习/1-2-1_神创论/1-2-1-4_模态位格一元论/0030_1-2-1-4_模态位格一元论_p604.md,0,1
31,3,1-2-2,3,偶像论／偶像崇拜,625,651,25,1-2,实在论 / 复习 / 偶像论／偶像崇拜,1 / 1-2 / 1-2-2,偶像论_偶像崇拜,1-2-2,0031__1-2-2__偶像论_偶像崇拜__p625,38,split_pdf/1_实在论/1-2_复习/1-2-2_偶像论_偶像崇拜/0031_1-2-2_偶像论_偶像崇拜_p625.pdf,split_md/1_实在论/1-2_复习/1-2-2_偶像论_偶像崇拜/0031_1-2-2_偶像论_偶像崇拜_p625.md,0,1
32,4,1-2-2-1,4,传殖主义,651,678,31,1-2-2,实在论 / 复习 / 偶像论／偶像崇拜 / 传殖主义,1 / 1-2 / 1-2-2 / 1-2-2-1,传殖主义,1-2-2-1,0032__1-2-2-1__传殖主义__p651,39,split_pdf/1_实在论/1-2_复习/1-2-2_偶像论_偶像崇拜/1-2-2-1_传殖主义/0032_1-2-2-1_传殖主义_p651.pdf,split_md/1_实在论/1-2_复习/1-2-2_偶像论_偶像崇拜/1-2-2-1_传殖主义/0032_1-2-2-1_传殖主义_p651.md,0,1
33,4,1-2-2-2,4,部分主义,678,711,31,1-2-2,实在论 / 复习 / 偶像论／偶像崇拜 / 部分主义,1 / 1-2 / 1-2-2 / 1-2-2-2,部分主义,1-2-2-2,0033__1-2-2-2__部分主义__p678,40,split_pdf/1_实在论/1-2_复习/1-2-2_偶像论_偶像崇拜/1-2-2-2_部分主义/0033_1-2-2-2_部分主义_p678.pdf,split_md/1_实在论/1-2_复习/1-2-2_偶像论_偶像崇拜/1-2-2-2_部分主义/0033_1-2-2-2_部分主义_p678.md,0,1
34,4,1-2-2-3,4,拜物教——读懂资本论的必修课：物神崇拜的符号学功能；偶像崇拜的第三种形式,711,732,31,1-2-2,实在论 / 复习 / 偶像论／偶像崇拜 / 拜物教——读懂资本论的必修课：物神崇拜的符号学功能；偶像崇拜的第三种形式,1 / 1-2 / 1-2-2 / 1-2-2-3,拜物教_读懂资本论的必修课_物神崇拜的符号学功能_偶像崇拜的第三种形式,1-2-2-3,0034__1-2-2-3__拜物教_读懂资本论的必修课_物神崇拜的符号学功能_偶像崇拜的第三种形式__p711,41,split_pdf/1_实在论/1-2_复习/1-2-2_偶像论_偶像崇拜/1-2-2-3_拜物教_读懂资本论的必修课_物神崇拜的符号学功能_偶像崇拜的第三种形式/0034_1-2-2-3_拜物教_读懂资本论的必修课_物神崇拜的符号学功能_偶像崇拜的第三种形式_p711.pdf,split_md/1_实在论/1-2_复习/1-2-2_偶像论_偶像崇拜/1-2-2-3_拜物教_读懂资本论的必修课_物神崇拜的符号学功能_偶像崇拜的第三种形式/0034_1-2-2-3_拜物教_读懂资本论的必修课_物神崇拜的符号学功能_偶像崇拜的第三种形式_p711.md,0,1
35,4,1-2-2-4,4,时间崇拜——偶像崇拜的终极形式：论时间之神 Aion、狄奥尼索斯与奥菲欧斯的三位一体，节庆、永恒、往生、死亡崇拜背后的意识形态机制,732,761,31,1-2-2,实在论 / 复习 / 偶像论／偶像崇拜 / 时间崇拜——偶像崇拜的终极形式：论时间之神 Aion、狄奥尼索斯与奥菲欧斯的三位一体，节庆、永恒、往生、死亡崇拜背后的意识形态机制,1 / 1-2 / 1-2-2 / 1-2-2-4,时间崇拜_偶像崇拜的终极形式_论时间之神_Aion_狄奥尼索斯与奥菲欧斯的三位一体_节庆_永恒_往生_死亡崇拜背后的意识形态机制,1-2-2-4,0035__1-2-2-4__时间崇拜_偶像崇拜的终极形式_论时间之神_Aion_狄奥尼索斯与奥菲欧斯的三位一体_节庆_永恒_往生_死亡崇拜背后的意识形态机制__p732,42,split_pdf/1_实在论/1-2_复习/1-2-2_偶像论_偶像崇拜/1-2-2-4_时间崇拜_偶像崇拜的终极形式_论时间之神_Aion_狄奥尼索斯与奥菲欧斯的三位一/0035_1-2-2-4_时间崇拜_偶像崇拜的终极形式_论时间之神_Aion_狄奥尼索斯与奥菲欧斯的三位一体_节庆_永恒_往生_死亡崇拜背后的意识形态机制_p732.pdf,split_md/1_实在论/1-2_复习/1-2-2_偶像论_偶像崇拜/1-2-2-4_时间崇拜_偶像崇拜的终极形式_论时间之神_Aion_狄奥尼索斯与奥菲欧斯的三位一/0035_1-2-2-4_时间崇拜_偶像崇拜的终极形式_论时间之神_Aion_狄奥尼索斯与奥菲欧斯的三位一体_节庆_永恒_往生_死亡崇拜背后的意识形态机制_p732.md,0,1
36,3,1-2-3,3,唯灵论——所谓“灵修”不过是人的好奇与自私所支撑的意识形态,761,800,25,1-2,实在论 / 复习 / 唯灵论——所谓“灵修”不过是人的好奇与自私所支撑的意识形态,1 / 1-2 / 1-2-3,唯灵论_所谓_灵修_不过是人的好奇与自私所支撑的意识形态,1-2-3,0036__1-2-3__唯灵论_所谓_灵修_不过是人的好奇与自私所支撑的意识形态__p761,43,split_pdf/1_实在论/1-2_复习/1-2-3_唯灵论_所谓_灵修_不过是人的好奇与自私所支撑的意识形态/0036_1-2-3_唯灵论_所谓_灵修_不过是人的好奇与自私所支撑的意识形态_p761.pdf,split_md/1_实在论/1-2_复习/1-2-3_唯灵论_所谓_灵修_不过是人的好奇与自私所支撑的意识形态/0036_1-2-3_唯灵论_所谓_灵修_不过是人的好奇与自私所支撑的意识形态_p761.md,0,1
37,4,1-2-3-1,4,永生主义——为什么追求永生或厌弃生命都是完全没有必要的,800,830,36,1-2-3,实在论 / 复习 / 唯灵论——所谓“灵修”不过是人的好奇与自私所支撑的意识形态 / 永生主义——为什么追求永生或厌弃生命都是完全没有必要的,1 / 1-2 / 1-2-3 / 1-2-3-1,永生主义_为什么追求永生或厌弃生命都是完全没有必要的,1-2-3-1,0037__1-2-3-1__永生主义_为什么追求永生或厌弃生命都是完全没有必要的__p800,44,split_pdf/1_实在论/1-2_复习/1-2-3_唯灵论_所谓_灵修_不过是人的好奇与自私所支撑的意识形态/1-2-3-1_永生主义_为什么追求永生或厌弃生命都是完全没有必要的/0037_1-2-3-1_永生主义_为什么追求永生或厌弃生命都是完全没有必要的_p800.pdf,split_md/1_实在论/1-2_复习/1-2-3_唯灵论_所谓_灵修_不过是人的好奇与自私所支撑的意识形态/1-2-3-1_永生主义_为什么追求永生或厌弃生命都是完全没有必要的/0037_1-2-3-1_永生主义_为什么追求永生或厌弃生命都是完全没有必要的_p800.md,0,1
38,4,1-2-3-2,4,回归式唯灵论,830,847,36,1-2-3,实在论 / 复习 / 唯灵论——所谓“灵修”不过是人的好奇与自私所支撑的意识形态 / 回归式唯灵论,1 / 1-2 / 1-2-3 / 1-2-3-2,回归式唯灵论,1-2-3-2,0038__1-2-3-2__回归式唯灵论__p830,45,split_pdf/1_实在论/1-2_复习/1-2-3_唯灵论_所谓_灵修_不过是人的好奇与自私所支撑的意识形态/1-2-3-2_回归式唯灵论/0038_1-2-3-2_回归式唯灵论_p830.pdf,split_md/1_实在论/1-2_复习/1-2-3_唯灵论_所谓_灵修_不过是人的好奇与自私所支撑的意识形态/1-2-3-2_回归式唯灵论/0038_1-2-3-2_回归式唯灵论_p830.md,0,1
39,4,1-2-3-3,4,魔法师主义——为什么魔法归根结底是一种自恋的、倒错的癔症,847,888,36,1-2-3,实在论 / 复习 / 唯灵论——所谓“灵修”不过是人的好奇与自私所支撑的意识形态 / 魔法师主义——为什么魔法归根结底是一种自恋的、倒错的癔症,1 / 1-2 / 1-2-3 / 1-2-3-3,魔法师主义_为什么魔法归根结底是一种自恋的_倒错的癔症,1-2-3-3,0039__1-2-3-3__魔法师主义_为什么魔法归根结底是一种自恋的_倒错的癔症__p847,46,split_pdf/1_实在论/1-2_复习/1-2-3_唯灵论_所谓_灵修_不过是人的好奇与自私所支撑的意识形态/1-2-3-3_魔法师主义_为什么魔法归根结底是一种自恋的_倒错的癔症/0039_1-2-3-3_魔法师主义_为什么魔法归根结底是一种自恋的_倒错的癔症_p847.pdf,split_md/1_实在论/1-2_复习/1-2-3_唯灵论_所谓_灵修_不过是人的好奇与自私所支撑的意识形态/1-2-3-3_魔法师主义_为什么魔法归根结底是一种自恋的_倒错的癔症/0039_1-2-3-3_魔法师主义_为什么魔法归根结底是一种自恋的_倒错的癔症_p847.md,0,1
40,4,1-2-3-4,4,弃绝主义——解脱痛苦追求涅槃：意识的符号学机制,888,925,36,1-2-3,实在论 / 复习 / 唯灵论——所谓“灵修”不过是人的好奇与自私所支撑的意识形态 / 弃绝主义——解脱痛苦追求涅槃：意识的符号学机制,1 / 1-2 / 1-2-3 / 1-2-3-4,弃绝主义_解脱痛苦追求涅槃_意识的符号学机制,1-2-3-4,0040__1-2-3-4__弃绝主义_解脱痛苦追求涅槃_意识的符号学机制__p888,47,split_pdf/1_实在论/1-2_复习/1-2-3_唯灵论_所谓_灵修_不过是人的好奇与自私所支撑的意识形态/1-2-3-4_弃绝主义_解脱痛苦追求涅槃_意识的符号学机制/0040_1-2-3-4_弃绝主义_解脱痛苦追求涅槃_意识的符号学机制_p888.pdf,split_md/1_实在论/1-2_复习/1-2-3_唯灵论_所谓_灵修_不过是人的好奇与自私所支撑的意识形态/1-2-3-4_弃绝主义_解脱痛苦追求涅槃_意识的符号学机制/0040_1-2-3-4_弃绝主义_解脱痛苦追求涅槃_意识的符号学机制_p888.md,0,1
41,3,1-2-4,3,反偶像论——揭秘“信仰钢印”背后的意识形态机制,925,953,25,1-2,实在论 / 复习 / 反偶像论——揭秘“信仰钢印”背后的意识形态机制,1 / 1-2 / 1-2-4,反偶像论_揭秘_信仰钢印_背后的意识形态机制,1-2-4,0041__1-2-4__反偶像论_揭秘_信仰钢印_背后的意识形态机制__p925,48,split_pdf/1_实在论/1-2_复习/1-2-4_反偶像论_揭秘_信仰钢印_背后的意识形态机制/0041_1-2-4_反偶像论_揭秘_信仰钢印_背后的意识形态机制_p925.pdf,split_md/1_实在论/1-2_复习/1-2-4_反偶像论_揭秘_信仰钢印_背后的意识形态机制/0041_1-2-4_反偶像论_揭秘_信仰钢印_背后的意识形态机制_p925.md,0,1
42,4,1-2-4-1,4,作为信仰的命定论——如何用哲学理解祥林嫂？,953,979,41,1-2-4,实在论 / 复习 / 反偶像论——揭秘“信仰钢印”背后的意识形态机制 / 作为信仰的命定论——如何用哲学理解祥林嫂？,1 / 1-2 / 1-2-4 / 1-2-4-1,作为信仰的命定论_如何用哲学理解祥林嫂,1-2-4-1,0042__1-2-4-1__作为信仰的命定论_如何用哲学理解祥林嫂__p953,49,split_pdf/1_实在论/1-2_复习/1-2-4_反偶像论_揭秘_信仰钢印_背后的意识形态机制/1-2-4-1_作为信仰的命定论_如何用哲学理解祥林嫂/0042_1-2-4-1_作为信仰的命定论_如何用哲学理解祥林嫂_p953.pdf,split_md/1_实在论/1-2_复习/1-2-4_反偶像论_揭秘_信仰钢印_背后的意识形态机制/1-2-4-1_作为信仰的命定论_如何用哲学理解祥林嫂/0042_1-2-4-1_作为信仰的命定论_如何用哲学理解祥林嫂_p953.md,0,1
43,4,1-2-4-2,4,救世主主义——尼采因何而疯？最危险、最廉价的意识形态，意识产生之前的人格化的符号学机制,979,1008,41,1-2-4,实在论 / 复习 / 反偶像论——揭秘“信仰钢印”背后的意识形态机制 / 救世主主义——尼采因何而疯？最危险、最廉价的意识形态，意识产生之前的人格化的符号学机制,1 / 1-2 / 1-2-4 / 1-2-4-2,救世主主义_尼采因何而疯_最危险_最廉价的意识形态_意识产生之前的人格化的符号学机制,1-2-4-2,0043__1-2-4-2__救世主主义_尼采因何而疯_最危险_最廉价的意识形态_意识产生之前的人格化的符号学机制__p979,50,split_pdf/1_实在论/1-2_复习/1-2-4_反偶像论_揭秘_信仰钢印_背后的意识形态机制/1-2-4-2_救世主主义_尼采因何而疯_最危险_最廉价的意识形态_意识产生之前的人格化的符号学/0043_1-2-4-2_救世主主义_尼采因何而疯_最危险_最廉价的意识形态_意识产生之前的人格化的符号学机制_p979.pdf,split_md/1_实在论/1-2_复习/1-2-4_反偶像论_揭秘_信仰钢印_背后的意识形态机制/1-2-4-2_救世主主义_尼采因何而疯_最危险_最廉价的意识形态_意识产生之前的人格化的符号学/0043_1-2-4-2_救世主主义_尼采因何而疯_最危险_最廉价的意识形态_意识产生之前的人格化的符号学机制_p979.md,0,1
44,4,1-2-4-3,4,神智论,1008,1041,41,1-2-4,实在论 / 复习 / 反偶像论——揭秘“信仰钢印”背后的意识形态机制 / 神智论,1 / 1-2 / 1-2-4 / 1-2-4-3,神智论,1-2-4-3,0044__1-2-4-3__神智论__p1008,51,split_pdf/1_实在论/1-2_复习/1-2-4_反偶像论_揭秘_信仰钢印_背后的意识形态机制/1-2-4-3_神智论/0044_1-2-4-3_神智论_p1008.pdf,split_md/1_实在论/1-2_复习/1-2-4_反偶像论_揭秘_信仰钢印_背后的意识形态机制/1-2-4-3_神智论/0044_1-2-4-3_神智论_p1008.md,0,1
